B2,B3,B4,B5,B6,B7,B8,B8A,lat,lon
1086,1196,1326,1631,1725,1835,1772,1914,25.3,83.0
974,1182,1382,1553,1689,1715,1866,1800,25.3,83.0
944,1150,1368,1540,1686,1727,1750,1848,25.3,83.0
824,1088,1354,1549,1706,1748,1764,1878,25.3,83.0
948,1124,1330,1530,1677,1704,1695,1830,25.3,83.0
864,1098,1362,1577,1739,1765,1760,1907,25.3,83.0
1052,1312,1470,1563,1724,1834,1964,1908,25.3,83.0
944,1288,1518,1580,1758,1888,2050,1974,25.3,83.0
1090,1346,1518,1582,1745,1858,2007,1938,25.3,83.0
998,1324,1538,1598,1775,1909,2066,1995,25.3,83.0
1100,1318,1552,1760,1896,1969,1994,2038,25.3,83.0
1026,1272,1538,1774,1922,1996,2006,2068,25.3,83.0
1024,1260,1526,1756,1901,1978,2005,2059,25.3,83.0
1062,1296,1558,1786,1933,2010,2029,2089,25.3,83.0
977,1254,1554,1663,1816,1951,2056,1987,25.3,83.0
1074,1292,1542,1647,1793,1919,2017,1949,25.3,83.0
1088,1316,1570,1679,1830,1957,2060,1992,25.3,83.0
995,1226,1490,1717,1882,1900,1952,2050,25.3,83.0
938,1194,1484,1722,1899,1921,1968,2075,25.3,83.0
1054,1256,1496,1713,1873,1891,1944,2033,25.3,83.0
1048,1262,1518,1740,1909,1927,1979,2076,25.3,83.0
1094,1294,1584,1807,1888,1976,2046,2083,25.3,83.0
1046,1240,1526,1791,1867,1961,1994,2065,25.3,83.0
1154,1322,1590,1801,1884,1969,2037,2071,25.3,83.0
1152,1334,1610,1828,1915,2004,2073,2109,25.3,83.0
1011,1274,1508,1656,1800,1899,2024,2078,25.3,83.0
863,1208,1508,1666,1826,1935,2078,2142,25.3,83.0
932,1238,1512,1665,1812,1916,2059,2119,25.3,83.0
929,1248,1528,1684,1840,1949,2091,2155,25.3,83.0
1108,1354,1606,1769,1990,2157,2222,2318,25.3,83.0
1168,1396,1620,1792,2001,2158,2230,2326,25.3,83.0
1208,1460,1702,1807,2029,2188,2308,2213,25.3,83.0
1228,1472,1704,1815,2037,2196,2318,2228,25.3,83.0
1238,1476,1704,1812,2030,2189,2304,2214,25.3,83.0
1262,1498,1722,1828,2051,2210,2334,2243,25.3,83.0
1166,1432,1624,1809,1924,2212,2286,2185,25.3,83.0
1162,1438,1632,1820,1937,2234,2302,2201,25.3,83.0
1188,1438,1624,1805,1920,2206,2280,2177,25.3,83.0
1136,1520,1680,1869,2018,2218,2272,2286,25.3,83.0
1218,1570,1720,1873,2022,2219,2304,2294,25.3,83.0
1236,1588,1740,1894,2049,2243,2332,2324,25.3,83.0
1242,1478,1738,1935,2079,2417,2652,2533,25.3,83.0
1260,1494,1744,1945,2098,2418,2652,2550,25.3,83.0
1288,1516,1764,1958,2112,2440,2674,2563,25.3,83.0
1204,1548,1772,1878,2139,2290,2502,2375,25.3,83.0
1206,1566,1798,1898,2167,2323,2534,2404,25.3,83.0
1234,1560,1778,1882,2144,2287,2500,2372,25.3,83.0
1236,1584,1812,1910,2181,2333,2552,2420,25.3,83.0
1362,1638,1890,2005,2265,2396,2564,2506,25.3,83.0
1374,1664,1930,2039,2316,2454,2612,2547,25.3,83.0
1384,1650,1902,2015,2274,2402,2574,2516,25.3,83.0
1404,1682,1950,2054,2331,2471,2626,2559,25.3,83.0
1258,1664,1916,2024,2213,2395,2642,2559,25.3,83.0
1252,1664,1932,2027,2217,2400,2666,2571,25.3,83.0
1112,1666,2026,2109,2376,2473,2652,2588,25.3,83.0
1104,1672,2038,2109,2384,2478,2664,2600,25.3,83.0
1142,1684,2030,2115,2381,2476,2646,2591,25.3,83.0
1150,1706,2051,2120,2392,2491,2673,2616,25.3,83.0
1232,1540,1828,2146,2171,2428,2534,2559,25.3,83.0
1282,1570,1830,2141,2186,2437,2522,2557,25.3,83.0
1274,1560,1830,2147,2176,2429,2530,2552,25.3,83.0
1316,1590,1846,2146,2197,2440,2536,2571,25.3,83.0
1146,1574,1906,2075,2172,2380,2508,2488,25.3,83.0
1144,1588,1936,2101,2200,2413,2546,2523,25.3,83.0
1176,1590,1918,2086,2180,2387,2518,2487,25.3,83.0
1180,1610,1948,2113,2211,2421,2566,2547,25.3,83.0
1432,1710,1936,2211,2228,2450,2452,2572,25.3,83.0
1444,1728,1960,2234,2252,2479,2476,2604,25.3,83.0
1476,1750,1976,2258,2267,2499,2486,2611,25.3,83.0
1294,1632,1876,2102,2210,2314,2332,2549,25.3,83.0
1250,1628,1904,2120,2233,2340,2386,2616,25.3,83.0
1278,1648,1920,2135,2242,2349,2396,2621,25.3,83.0
1062,1476,1772,2080,2353,2544,2518,2742,25.3,83.0
946,1430,1776,2094,2379,2570,2548,2798,25.3,83.0
966,1426,1780,2091,2361,2552,2542,2779,25.3,83.0
994,1456,1792,2110,2401,2583,2573,2822,25.3,83.0
1762,1914,1952,2395,2514,2783,2630,2977,25.3,83.0
647,1130,1350,1918,2289,2632,2490,2865,25.3,83.0
1888,2010,2032,2473,2548,2760,2592,2883,25.3,83.0
974,1066,1172,1541,1732,1923,1976,2041,25.3,83.0
927,1038,1160,1545,1743,1936,1998,2063,25.3,83.0
1046,1116,1200,1550,1739,1927,1967,2030,25.3,83.0
998,1268,1362,1756,1984,2280,2250,2297,25.3,83.0
969,1260,1360,1769,2003,2304,2272,2323,25.3,83.0
1046,1290,1372,1756,1983,2269,2241,2288,25.3,83.0
1064,1312,1386,1772,2004,2295,2263,2312,25.3,83.0
888,1114,1308,1647,1975,2084,2170,2244,25.3,83.0
1008,1194,1336,1662,1989,2098,2158,2238,25.3,83.0
932,1136,1318,1655,1978,2084,2172,2248,25.3,83.0
1002,1192,1342,1672,2001,2109,2182,2258,25.3,83.0
1090,1278,1388,1711,1814,2035,2088,2120,25.3,83.0
934,1194,1362,1737,1827,2075,2128,2173,25.3,83.0
1048,1254,1388,1727,1819,2047,2105,2140,25.3,83.0
990,1234,1382,1749,1842,2084,2141,2188,25.3,83.0
912,1164,1210,1732,1894,1996,1872,2147,25.3,83.0
772,1098,1172,1771,1933,2039,1886,2203,25.3,83.0
880,1150,1202,1749,1907,2006,1877,2166,25.3,83.0
778,1108,1176,1789,1948,2057,1901,2223,25.3,83.0
1394,1580,1628,1942,2025,2033,2194,2229,25.3,83.0
794,1216,1424,1886,1976,1979,2226,2305,25.3,83.0
1386,1570,1618,1946,2027,2035,2184,2231,25.3,83.0
864,1266,1456,1903,1990,1994,2258,2337,25.3,83.0
1904,2040,2096,2375,2439,2603,2496,2597,25.3,83.0
1742,1920,2032,2353,2400,2578,2450,2572,25.3,83.0
2062,2142,2166,2416,2416,2561,2454,2541,25.3,83.0
1764,1924,2046,2361,2404,2580,2468,2585,25.3,83.0
1720,1780,1838,2119,2208,2306,2196,2236,25.3,83.0
1450,1616,1742,2099,2257,2378,2246,2312,25.3,83.0
1760,1810,1852,2126,2252,2344,2242,2280,25.3,83.0
1496,1644,1764,2111,2270,2391,2270,2330,25.3,83.0
905,1196,1438,1808,1937,2089,2008,2223,25.3,83.0
1450,1578,1638,1919,2003,2095,2046,2176,25.3,83.0
1646,1682,1696,1917,1997,2088,2032,2130,25.3,83.0
1562,1652,1686,1934,2018,2110,2060,2182,25.3,83.0
1320,1454,1510,1850,1921,1935,1964,2073,25.3,83.0
866,1156,1326,1806,1892,1912,1950,2119,25.3,83.0
1316,1450,1506,1855,1927,1938,1964,2080,25.3,83.0
906,1188,1352,1835,1921,1938,1976,2143,25.3,83.0
1088,1224,1360,1557,1742,1933,1948,1930,25.3,83.0
1011,1180,1342,1561,1759,1959,1964,1952,25.3,83.0
1178,1278,1388,1565,1743,1920,1936,1915,25.3,83.0
1068,1218,1366,1577,1772,1965,1980,1964,25.3,83.0
936,1140,1170,1528,1619,1717,1786,1778,25.3,83.0
780,1056,1114,1521,1616,1721,1792,1790,25.3,83.0
1046,1202,1208,1534,1630,1716,1780,1769,25.3,83.0
800,1086,1148,1555,1652,1760,1858,1829,25.3,83.0
1490,1476,1582,1841,1892,1944,1994,2017,25.3,83.0
1462,1550,1576,1776,1927,1890,1876,1944,25.3,83.0
1450,1572,1588,1782,1935,1893,1886,1951,25.3,83.0
1472,1558,1582,1788,1939,1898,1886,1950,25.3,83.0
1462,1606,1634,1847,2010,1967,1970,2036,25.3,83.0
746,766,758,1102,1879,2134,2238,2259,22.5,88.3
514,636,676,1052,1828,2098,1534,2292,22.5,88.3
693,898,710,1188,2452,2759,3440,2933,22.5,88.3
844,908,726,1194,2283,2618,3227,2771,22.5,88.3
451,648,438,1129,2336,2740,3773,2790,22.5,88.3
670,826,728,1210,2263,2523,2598,2831,22.5,88.3
258,563,325,1138,2492,3098,3324,3409,22.5,88.3
381,532,487,1124,2229,2624,2910,2909,22.5,88.3
414,602,476,1217,2468,2864,2820,2912,22.5,88.3
185,474,392,1132,2530,2959,2940,3066,22.5,88.3
488,769,550,1206,2598,2857,3588,2992,22.5,88.3
254,472,505,1130,2077,2473,2032,2315,22.5,88.3
363,554,419,1028,1829,2617,2578,2556,22.5,88.3
546,658,538,900,1762,2139,2337,2305,22.5,88.3
610,802,572,1051,2156,2567,2948,2451,22.5,88.3
526,833,592,1100,2063,2436,3436,2603,22.5,88.3
4588,3804,3640,4216,4180,3981,4577,3852,22.5,88.3
653,836,702,1046,1850,1974,2419,2246,22.5,88.3
520,636,603,928,1720,1876,2199,1926,22.5,88.3
751,822,841,1094,1785,1820,2105,1968,22.5,88.3
679,804,766,1002,1680,1881,2415,2253,22.5,88.3
1374,1354,1274,1502,1834,1936,2044,1991,22.5,88.3
434,615,562,925,1851,2080,2390,1970,22.5,88.3
807,876,782,1092,1836,2024,2204,1942,22.5,88.3
844,990,901,1251,1739,1926,2144,1962,22.5,88.3
2100,2180,2366,2379,2532,2652,2812,2746,22.5,88.3
636,706,664,1002,1667,1688,2056,2038,22.5,88.3
1636,1620,1490,1720,2005,2108,2120,2075,22.5,88.3
367,527,454,855,1531,1715,2173,1934,22.5,88.3
844,993,937,1244,1823,2246,2318,2264,22.5,88.3
748,861,666,1106,1573,1952,2244,1920,22.5,88.3
297,515,452,1074,1691,2045,2522,2188,22.5,88.3
486,642,662,1239,1794,2057,2178,2239,22.5,88.3
563,684,698,1160,1837,2207,2098,2280,22.5,88.3
422,616,621,1149,2033,2168,2226,2266,22.5,88.3
345,543,510,1081,1861,2350,2482,2648,22.5,88.3
221,488,388,1123,2226,2439,2419,2625,22.5,88.3
441,634,531,1156,1879,2485,2329,2513,22.5,88.3
450,559,457,1162,2109,2789,2166,2873,22.5,88.3
790,925,796,1339,2423,3138,2709,2885,22.5,88.3
302,592,473,1097,2576,2622,3002,2913,22.5,88.3
683,840,676,1182,2430,2529,2798,2752,22.5,88.3
1688,1528,1338,1571,1939,2124,2281,2244,22.5,88.3
242,500,374,906,1679,2257,2606,2539,22.5,88.3
760,818,669,1111,1898,2245,2386,2672,22.5,88.3
658,794,693,1052,1839,2176,2255,2154,22.5,88.3
297,552,522,1013,1900,2041,2427,2239,22.5,88.3
1019,1050,897,1175,1905,2041,2220,2263,22.5,88.3
1308,1342,1222,1438,1859,2185,2121,2157,22.5,88.3
908,980,867,1157,2011,2157,2374,2210,22.5,88.3
850,896,788,1106,1703,2010,2222,2079,22.5,88.3
742,916,795,1151,1859,2028,2370,2319,22.5,88.3
662,805,694,1030,1764,2131,2374,2024,22.5,88.3
772,818,748,1092,1896,2241,2246,2323,22.5,88.3
381,318,162,195,173,178,129,165,9.9,76.2
314,267,124,154,136,144,103,141,9.9,76.2
464,341,168,156,130,140,104,118,9.9,76.2
383,279,118,107,87,102,67,86,9.9,76.2
771,690,364,349,259,261,203,212,9.9,76.2
635,583,276,268,182,194,137,154,9.9,76.2
397,413,241,239,219,191,136,166,9.9,76.2
577,547,352,322,295,266,221,240,9.9,76.2
692,731,379,321,181,204,156,151,9.9,76.2
626,690,340,287,150,177,125,125,9.9,76.2
649,667,363,321,250,250,213,209,9.9,76.2
583,516,283,266,215,201,185,179,9.9,76.2
480,441,221,205,156,147,139,137,9.9,76.2
554,518,364,346,301,291,236,258,9.9,76.2
792,958,643,581,404,423,400,415,9.9,76.2
868,998,689,618,449,464,439,449,9.9,76.2
741,735,410,373,271,263,220,219,9.9,76.2
722,724,401,365,263,256,214,213,9.9,76.2
262,271,130,248,198,177,88,106,9.9,76.2
332,326,178,224,179,162,123,136,9.9,76.2
688,613,350,334,274,276,234,223,9.9,76.2
698,623,361,331,276,281,242,230,9.9,76.2
496,582,355,323,309,320,230,319,9.9,76.2
612,656,424,393,371,376,289,363,9.9,76.2
772,717,506,464,415,385,330,337,9.9,76.2
1238,988,761,751,600,563,451,482,9.9,76.2
484,524,398,445,407,398,326,361,9.9,76.2
631,626,484,525,481,468,386,417,9.9,76.2
662,567,388,447,330,317,257,258,9.9,76.2
494,451,231,235,195,193,126,142,9.9,76.2
626,552,320,299,258,253,193,202,9.9,76.2
686,558,396,394,354,309,277,274,9.9,76.2
665,544,386,377,342,300,269,267,9.9,76.2
614,546,370,360,319,305,258,267,9.9,76.2
568,514,345,325,289,279,240,251,9.9,76.2
791,780,756,961,939,895,1068,1074,9.9,76.2
990,954,888,1030,1005,971,1086,1093,9.9,76.2
592,551,339,355,287,290,228,234,9.9,76.2
620,573,358,357,292,297,243,248,9.9,76.2
1120,1005,886,1440,1169,1213,1002,1202,9.9,76.2
614,751,594,932,799,838,842,857,9.9,76.2
892,986,934,1051,1047,1028,1056,1018,9.9,76.2
1072,1034,786,761,676,642,802,596,9.9,76.2
543,650,362,340,233,211,196,198,9.9,76.2
534,646,358,333,228,207,192,195,9.9,76.2
0,190,87,165,80,93,0,62,9.9,76.2
433,527,346,356,268,261,167,231,9.9,76.2
798,700,471,487,420,415,301,309,9.9,76.2
117,237,85,142,69,73,0,0,9.9,76.2
399,440,249,246,174,171,100,104,9.9,76.2
740,606,400,391,314,336,292,279,9.9,76.2
472,415,298,419,321,344,213,249,9.9,76.2
784,668,504,506,393,400,335,344,9.9,76.2
730,850,804,895,825,800,509,759,9.9,76.2
531,488,358,388,319,328,224,264,9.9,76.2
211,266,89,84,65,71,22,25,9.9,76.2
324,347,161,135,113,116,79,77,9.9,76.2
503,386,232,211,153,143,116,130,9.9,76.2
386,287,157,123,57,51,34,54,9.9,76.2
7040,6644,6372,7003,6303,5838,6592,5660,9.9,76.2
442,314,167,153,117,117,101,90,9.9,76.2
323,271,83,89,45,85,31,55,9.9,76.2
475,396,190,182,135,163,109,124,9.9,76.2
806,738,427,398,320,311,273,247,9.9,76.2
722,679,374,350,273,267,233,208,9.9,76.2
207,226,61,63,26,29,0,13,9.9,76.2
382,360,176,151,111,108,74,91,9.9,76.2
628,490,280,293,252,251,197,204,9.9,76.2
562,439,239,259,223,226,169,178,9.9,76.2
332,380,122,97,11,45,36,26,9.9,76.2
586,567,291,247,165,181,166,147,9.9,76.2
408,456,211,143,96,69,105,122,9.9,76.2
622,537,314,270,226,237,182,190,9.9,76.2
689,612,322,295,234,228,176,179,9.9,76.2
628,565,284,251,194,194,148,153,9.9,76.2
604,648,411,349,261,270,208,221,9.9,76.2
684,508,306,291,252,248,218,191,9.9,76.2
692,517,316,292,256,254,226,201,9.9,76.2
853,752,488,468,394,372,327,326,9.9,76.2
812,723,462,435,364,346,308,310,9.9,76.2
598,781,526,521,428,456,438,434,9.9,76.2
804,910,644,616,525,541,516,509,9.9,76.2
814,631,424,400,362,346,317,304,9.9,76.2
789,610,408,383,347,333,306,293,9.9,76.2
501,556,341,381,289,350,302,319,9.9,76.2
778,762,521,528,442,482,425,435,9.9,76.2
800,747,438,393,316,300,270,266,9.9,76.2
803,852,684,717,659,692,594,720,9.9,76.2
874,902,723,751,701,730,620,730,9.9,76.2
697,530,360,343,305,295,270,249,9.9,76.2
682,519,352,328,293,285,264,243,9.9,76.2
910,932,855,834,732,740,656,766,9.9,76.2
470,383,223,217,181,181,154,150,9.9,76.2
453,369,209,196,165,169,148,143,9.9,76.2
966,1058,910,983,912,920,896,965,9.9,76.2
581,465,310,299,273,263,227,219,9.9,76.2
544,437,288,270,249,243,211,205,9.9,76.2
382,347,209,305,231,257,169,196,9.9,76.2
741,637,454,479,410,421,346,358,9.9,76.2
388,604,648,871,858,883,903,845,9.9,76.2
844,932,879,953,930,949,988,951,9.9,76.2
1142,1274,1196,1324,1249,1275,1282,1336,9.9,76.2
1516,1668,1620,1627,1423,1516,1420,1469,9.9,76.2
1490,1648,1606,1600,1395,1498,1402,1453,9.9,76.2
619,697,422,421,320,307,236,263,9.9,76.2
1084,1240,1266,1421,1354,1347,1310,1439,9.9,76.2
613,515,313,300,245,250,202,213,9.9,76.2
1360,1362,1344,1427,1359,1385,1428,1411,9.9,76.2
1406,1408,1360,1429,1361,1387,1416,1402,9.9,76.2
512,483,321,319,287,268,235,237,9.9,76.2
581,532,360,346,315,296,266,265,9.9,76.2
1144,1344,1322,1344,1237,1241,1434,1331,9.9,76.2
640,497,340,337,296,293,239,258,9.9,76.2
621,484,330,323,283,282,232,251,9.9,76.2
959,1026,948,1068,977,1056,1078,1032,9.9,76.2
388,350,206,191,164,163,115,141,9.9,76.2
653,561,328,384,353,495,404,519,9.9,76.2
1074,1178,946,942,796,724,888,667,9.9,76.2
1236,1406,1380,1068,1026,779,972,847,9.9,76.2
606,518,403,455,431,443,281,415,9.9,76.2
457,398,313,392,376,394,213,364,9.9,76.2
496,460,288,278,226,211,169,159,9.9,76.2
472,443,274,267,217,203,160,150,9.9,76.2
246,238,81,158,140,153,20,61,9.9,76.2
570,492,292,305,276,276,177,199,9.9,76.2
202,168,30,24,14,13,4,21,9.9,76.2
296,242,92,89,73,68,51,63,9.9,76.2
556,412,245,257,214,218,168,178,9.9,76.2
530,396,233,238,199,207,161,171,9.9,76.2
568,483,348,316,232,213,264,185,9.9,76.2
674,572,359,343,284,282,237,227,9.9,76.2
523,457,265,255,204,212,166,162,9.9,76.2
411,387,207,157,143,152,150,160,9.9,76.2
386,369,196,173,158,166,144,153,9.9,76.2
1070,1226,1184,1544,2126,2468,2482,2535,19.1,72.9
1666,1732,1664,1900,2236,2372,2444,2396,19.1,72.9
1005,1168,1198,1552,2059,2330,2420,2407,19.1,72.9
1306,1384,1392,1517,1826,1953,2126,2102,19.1,72.9
670,934,1124,1397,1914,2082,2266,2267,19.1,72.9
639,832,956,1193,1607,1827,2078,1927,19.1,72.9
684,942,1080,1283,1646,1753,1800,1901,19.1,72.9
790,927,1064,1292,1554,1681,1802,1824,19.1,72.9
722,906,1021,1190,1449,1510,1600,1743,19.1,72.9
659,833,1038,1204,1468,1628,1716,1772,19.1,72.9
988,1138,1280,1471,1690,1801,1836,1918,19.1,72.9
586,752,966,1188,1406,1534,1596,1771,19.1,72.9
306,576,819,996,1208,1414,1534,1578,19.1,72.9
1004,1162,1306,1547,1672,1793,1818,1905,19.1,72.9
428,750,1104,1405,1556,1737,1810,1935,19.1,72.9
638,841,1130,1301,1464,1625,1648,1733,19.1,72.9
1078,1208,1330,1503,1666,1750,1704,1859,19.1,72.9
576,856,1088,1302,1577,1714,1698,1787,19.1,72.9
547,782,1074,1204,1385,1538,1570,1674,19.1,72.9
497,585,652,781,883,974,894,1012,19.1,72.9
579,797,783,1145,2015,2335,2574,2650,19.1,72.9
680,872,836,1260,2244,2557,3008,2828,19.1,72.9
720,934,1040,1388,2098,2441,2824,2750,19.1,72.9
896,1074,1192,1565,2280,2667,2890,2894,19.1,72.9
697,969,1174,1358,1958,2295,2588,2525,19.1,72.9
892,1080,1218,1455,2170,2506,2896,2749,19.1,72.9
866,1100,1238,1468,2005,2272,2488,2515,19.1,72.9
824,1032,1188,1431,1990,2309,2604,2443,19.1,72.9
838,997,1032,1229,1436,1568,1628,1749,19.1,72.9
543,733,860,1099,1402,1649,1708,1826,19.1,72.9
1200,1304,1372,1496,1589,1715,1726,1800,19.1,72.9
435,632,796,1008,1327,1440,1586,1554,19.1,72.9
458,706,930,1075,1273,1446,1660,1594,19.1,72.9
1984,1970,2014,2173,2297,2421,2332,2422,19.1,72.9
592,798,1006,1081,1338,1535,1718,1586,19.1,72.9
1058,1174,1238,1398,1610,1846,1942,1847,19.1,72.9
773,948,1124,1199,1460,1517,1684,1707,19.1,72.9
855,1058,1286,1391,1626,1770,1860,1918,19.1,72.9
1064,1196,1330,1478,1645,1784,1812,1816,19.1,72.9
550,762,992,1022,1154,1302,1584,1393,19.1,72.9
581,790,956,1043,1271,1396,1588,1488,19.1,72.9
612,840,1076,1161,1324,1402,1650,1565,19.1,72.9
546,725,943,1062,1267,1372,1578,1585,19.1,72.9
156,512,903,1019,1207,1353,1550,1592,19.1,72.9
636,791,1001,1165,1438,1596,1686,1745,19.1,72.9
1300,1318,1356,1551,1736,1818,1824,1906,19.1,72.9
1308,1362,1466,1716,1842,1964,1902,1976,19.1,72.9
737,896,1108,1362,1655,1840,1968,1998,19.1,72.9
548,816,1074,1152,1368,1521,1598,1648,19.1,72.9
594,861,1070,1271,1461,1629,1644,1792,19.1,72.9
634,843,1046,1285,1535,1727,1814,1875,19.1,72.9
620,848,1176,1365,1539,1671,1700,1838,19.1,72.9
484,813,1068,1329,1489,1614,1620,1770,19.1,72.9
1070,1222,972,1534,3036,3684,3764,3943,19.1,72.9
587,852,650,1141,2289,2675,2802,2891,19.1,72.9
750,932,814,1251,2350,2779,2932,3003,19.1,72.9
692,874,889,1281,2064,2421,2634,2653,19.1,72.9
766,1014,965,1319,2163,2563,2834,2698,19.1,72.9
622,879,880,1329,2038,2364,2654,2611,19.1,72.9
821,996,1086,1464,2133,2525,2710,2819,19.1,72.9
662,966,1182,1470,2078,2372,2696,2515,19.1,72.9
454,866,1172,1420,2029,2304,2698,2469,19.1,72.9
901,1122,1290,1562,2152,2464,2690,2721,19.1,72.9
5036,4952,5024,5485,5433,5463,4764,5456,19.1,72.9
738,952,1034,1351,1908,2223,2542,2456,19.1,72.9
517,825,963,1322,1914,2228,2644,2407,19.1,72.9
598,775,990,1198,1578,1736,2084,1912,19.1,72.9
89,277,87,501,1937,2581,2512,2749,11.0,79.8
133,187,65,283,802,1148,1023,1168,11.0,79.8
321,623,372,1079,2647,3273,3326,3491,11.0,79.8
453,852,1024,1650,2333,2626,2702,2942,11.0,79.8
746,1016,1360,1776,1920,2137,2264,2409,11.0,79.8
775,1062,1354,1767,2175,2466,2642,2851,11.0,79.8
988,1256,1428,1883,2450,2804,2864,3146,11.0,79.8
903,1284,1532,2008,2518,2784,3010,3209,11.0,79.8
752,1096,1524,1722,1725,1926,2000,2166,11.0,79.8
493,686,1034,969,1021,984,1226,1329,11.0,79.8
371,670,996,1220,1130,1389,1350,1518,11.0,79.8
702,996,1128,1409,1576,1865,1866,1871,11.0,79.8
930,1234,1486,1653,1666,1782,2008,2153,11.0,79.8
735,974,1234,1375,1412,1664,1732,1816,11.0,79.8
478,819,858,1240,1527,1673,1686,1882,11.0,79.8
390,660,653,1187,1368,1606,1640,1727,11.0,79.8
436,688,552,1139,2152,2493,2444,2622,11.0,79.8
438,686,546,1246,2662,3072,3132,3324,11.0,79.8
13328,12288,11576,12319,11176,10685,11472,10355,11.0,79.8
613,944,798,1397,2893,3257,3352,3581,11.0,79.8
4244,4132,3928,4212,4421,4396,4332,4480,11.0,79.8
3260,3360,3764,4052,4433,4687,3532,4930,11.0,79.8
1940,1932,1870,2857,3674,4028,3608,4454,11.0,79.8
442,736,818,1388,2147,2506,2564,3003,11.0,79.8
561,880,868,1426,2364,2798,2854,3158,11.0,79.8
588,933,1004,1612,2460,2831,2984,3362,11.0,79.8
481,789,796,1306,2225,2489,2570,2923,11.0,79.8
402,751,758,1236,2062,2412,2654,2729,11.0,79.8
472,860,984,1532,2245,2657,2770,3069,11.0,79.8
651,880,1028,1517,2102,2431,2564,2793,11.0,79.8
436,821,1136,1642,2171,2479,2698,3043,11.0,79.8
